bin_id,R_inner_pc,R_outer_pc,R_mid_pc,N_vlos
0,1.0497301892669824,36.15042838896009,18.600079289113534,20
1,36.15042838896009,45.77780736724708,40.96411787810358,20
2,45.77780736724708,61.06514869428071,53.42147803076389,20
3,61.06514869428071,72.46562534753159,66.76538702090615,20
4,72.46562534753159,85.54353025903688,79.00457780328423,20
5,85.54353025903688,96.91700521985904,91.23026773944795,20
6,96.91700521985904,105.93793327927874,101.42746924956889,20
7,105.93793327927874,117.74716855699859,111.84255091813867,20
8,117.74716855699859,125.06729427756912,121.40723141728385,20
9,125.06729427756912,141.37319996816893,133.220247122869,20
10,141.37319996816893,154.9200762728879,148.14663812052842,20
11,154.9200762728879,170.1094700568477,162.5147731648678,20
12,170.1094700568477,180.01085138605606,175.0601607214519,20
13,180.01085138605606,190.8035698691138,185.40721062758493,20
14,190.8035698691138,202.377406324819,196.5904880969664,20
15,202.377406324819,218.9360199178906,210.6567131213548,20
16,218.9360199178906,232.8273975774611,225.88170874767587,20
17,232.8273975774611,253.30818707224225,243.06779232485167,20
18,253.30818707224225,276.5158461298073,264.9120166010248,20
19,276.5158461298073,297.9401005445625,287.2279733371849,20
20,297.9401005445625,321.1431787286242,309.54163963659335,20
21,321.1431787286242,358.449941991465,339.7965603600446,20
22,358.449941991465,392.07321745032954,375.26157972089726,20
23,392.07321745032954,441.64621765984487,416.8597175550872,20
24,441.64621765984487,485.50758035002207,463.57689900493347,20
25,485.50758035002207,535.524246350928,510.51591335047505,20
26,535.524246350928,610.9547508536357,573.2394986022819,20
27,610.9547508536357,779.1618670142577,695.0583089339467,20
28,779.1618670142577,787.5516355074246,783.3567512608412,3
