x_pixel,y_pixel,rin_deg,count_digitized
90.35979381443298,97.56701030927843,0.012569186183536937,22.57863844440677
258.98247422680413,162.2329896907217,0.0375887372829532,12.579936722285067
338.3824742268041,192.51958762886602,0.06296166618837665,9.565493820902448
389.9515463917526,274.3752577319588,0.08801825379040588,4.562091454239851
429.24226804123714,285.01649484536085,0.11361279699791112,4.143461845447288
460.34742268041236,301.3876288659794,0.13905514650723774,3.573178090491706
486.5412371134021,307.93608247422685,0.16485042429821573,3.3676828844487443
506.18659793814436,318.57731958762895,0.18729117790812688,3.0586553731427264
527.4690721649484,347.2268041237114,0.21506191587688916,2.3604258041616304
543.021649484536,352.9567010309279,0.23792682981781343,2.241208779755002
559.3927835051546,317.758762886598,0.2646261719898845,3.081385117712285
573.3082474226804,329.218556701031,0.28966349365332233,2.7779850456989377
586.4051546391753,329.218556701031,0.31538807296918114,2.7779850456989377
597.0463917525773,312.8474226804124,0.3379623803396728,3.22135498219534
608.5061855670103,325.9443298969073,0.3640834382302378,2.8614860951082934
618.3288659793815,329.218556701031,0.38807400232069394,2.7779850456989377
628.1515463917526,333.3113402061856,0.413645377579535,2.677026887172629
637.1556701030928,316.12164948453614,0.4385633469336485,3.1273525958153403
646.159793814433,324.3072164948454,0.4649823730634131,2.9041731642003725
655.1639175257732,311.21030927835056,0.49299287952669224,3.269410502342777
663.3494845360825,333.3113402061856,0.5199185764756611,2.677026887172629
670.7164948453608,311.21030927835056,0.5454068074781152,3.269410502342777
676.4463917525774,365.2350515463918,0.5660917634715475,2.005629938713465
684.6319587628866,362.77938144329903,0.5970098880561779,2.050676271068682
691.180412371134,341.49690721649495,0.622955859046766,2.485984361332522
696.0917525773195,325.9443298969073,0.6431526860548238,2.8614860951082934
701.8216494845361,346.40824742268046,0.6675447266852218,2.3779668047186373
707.5515463917526,334.12989690721656,0.692861853471699,2.6572798789192595
711.6443298969073,335.7670103092784,0.7115312772040632,2.618221777568182
717.3742268041237,344.7711340206186,0.7385166264060111,2.413440831122338
724.741237113402,336.5855670103093,0.7747213000312297,2.5989085434357477
728.8340206185567,348.0453608247423,0.7955964573981691,2.343014194267241
733.7453608247423,352.13814432989693,0.8213904583453353,2.2578638444406787
738.6567010309278,339.85979381443303,0.8480207255662825,2.5230697717335873
742.7494845360825,361.1422680412372,0.8708709635756273,2.0812678436848273
747.660824742268,363.59793814433,0.8991054362790251,2.035549519281534
750.9350515463917,337.4041237113403,0.9184351549071657,2.5797377727935524
755.8463917525773,329.218556701031,0.9482117043566936,2.7779850456989377
759.9391752577319,353.77525773195885,0.9737616260444301,2.224676570652654
760.7577319587629,310.3917525773196,0.9789536381258247,3.293706428671648
